Key,Value,Index
========== CONGRUENCE OF RADIATION ==========,,
TechniqueFactors_fcd,100,0
TechniqueFactors_kv,80,0
TechniqueFactors_mas,10,0
Measurement_observedShift,0.5,0
Measurement_edgeShift,0.2,0
Measurement_tolerance,2,0
Measurement_observedShift,0.4,1
Measurement_edgeShift,0.3,1
Measurement_tolerance,2,1
========== CENTRAL BEAM ALIGNMENT ==========,,
TechniqueFactors_fcd,100,0
TechniqueFactors_kv,80,0
TechniqueFactors_mas,10,0
ObservedTilt_value,1.2,0
Tolerance_operator,<,0
Tolerance_value,1.5,0
========== EFFECTIVE FOCAL SPOT ==========,,
FCD,100,0
ToleranceCriteria_tolSmallMul,0.5,0
ToleranceCriteria_smallLimit,0.8,0
ToleranceCriteria_tolMediumMul,0.4,0
ToleranceCriteria_mediumLower,0.8,0
ToleranceCriteria_mediumUpper,1.5,0
ToleranceCriteria_tolLargeMul,0.3,0
FocalSpot_focusType,Large Focus,0
FocalSpot_statedWidth,1.2,0
FocalSpot_statedHeight,1.2,0
FocalSpot_measuredWidth,1.3,0
FocalSpot_measuredHeight,1.3,0
FocalSpot_focusType,Small Focus,1
FocalSpot_statedWidth,0.6,1
FocalSpot_statedHeight,0.6,1
FocalSpot_measuredWidth,0.7,1
FocalSpot_measuredHeight,0.7,1
========== TOTAL FILTRATION ==========,,
mAStations,50 mA,0
mAStations,100 mA,1
Measurement_appliedKvp,60,0
Measurement_Meas1,60.2,0
Measurement_Meas2,60.1,0
Measurement_appliedKvp,80,1
Measurement_Meas1,80.3,1
Measurement_Meas2,80.1,1
Measurement_appliedKvp,100,2
Measurement_Meas1,100.2,2
Measurement_Meas2,100.1,2
Measurement_appliedKvp,120,3
Measurement_Meas1,120.1,3
Measurement_Meas2,120.3,3
Tolerance_sign,±,0
Tolerance_value,5,0
TotalFiltration_measured,2.6,0
TotalFiltration_required,2.5,0
TotalFiltration_atKvp,70,0
========== LINEARITY OF MAS LOADING ==========,,
Table1_fcd,100,0
Table1_kv,80,0
Table2_mAsRange,5 - 10,0
Table2_Meas1,0.50,0
Table2_Meas2,0.51,0
Table2_Meas3,0.49,0
Table2_mAsRange,10 - 20,1
Table2_Meas1,1.00,1
Table2_Meas2,1.01,1
Table2_Meas3,0.99,1
Table2_mAsRange,20 - 50,2
Table2_Meas1,2.50,2
Table2_Meas2,2.51,2
Table2_Meas3,2.49,2
Tolerance_operator,<=,0
Tolerance_value,0.1,0
========== CONSISTENCY OF RADIATION OUTPUT ==========,,
FFD,100,0
OutputRow_kv,80,0
OutputRow_mas,10,0
OutputRow_Meas1,0.50,0
OutputRow_Meas2,0.51,0
OutputRow_Meas3,0.49,0
OutputRow_Meas4,0.50,0
OutputRow_Meas5,0.52,0
Tolerance,0.05,0
========== RADIATION LEAKAGE LEVEL ==========,,
Settings_fcd,100,0
Settings_kv,120,0
Settings_ma,21,0
Settings_time,2,0
Leakage_location,Tube,0
Leakage_left,0.1,0
Leakage_right,0.1,0
Leakage_front,0.1,0
Leakage_back,0.1,0
Leakage_top,0.1,0
Workload,180,0
Tolerance_value,1,0
Tolerance_operator,less than or equal to,0
Tolerance_time,1,0
========== RADIATION PROTECTION SURVEY ==========,,
surveyDate,20-05-2024,0
appliedCurrent,100,0
appliedVoltage,80,0
exposureTime,0.5,0
workload,5000,0
Location_location,Control Console (Operator Position),0
Location_mRPerHr,0.1,0
Location_category,worker,0
Location_location,Outside Patient Entrance Door,1
Location_mRPerHr,0.05,1
Location_category,public,1
