TEST: ACCURACY OF OPERATING POTENTIAL (kVp),,,,,,,,,
Tolerance Sign,-,,,,,,,,
Tolerance Value (kVp),2,,,,,,,,
,,,,,,,,,
Total Filtration Required (mm Al),2.5,,,,,,,,
Total Filtration At kVp,80,,,,,,,,
Applied kVp,50 mA,100 mA,,,,,,,
60,59.8,60.2,,,,,,,
80,79.5,80.5,,,,,,,
100,99.2,100.8,,,,,,,
120,119.5,120.5,,,,,,,
,,,,,,,,,
TEST: OUTPUT CONSISTENCY,,,,,,,,,
FDD (cm),100,,,,,,,,
kVp,mAs,Meas 1,Meas 2,Meas 3,Meas 4,Meas 5,,,
80,10,0.85,0.84,0.86,0.85,0.85,,,
Tolerance Operator,<=,,,,,,,,
Tolerance (CoV),0.05,,,,,,,,
,,,,,,,,,
TEST: CENTRAL BEAM ALIGNMENT,,,,,,,,,
FFD (cm),100,kV,80,mAs,10,,,,
Observed Tilt (cm),0.5,,,,,,,,
Tolerance (cm),1.5,,,,,,,,
,,,,,,,,,
TEST: CONGRUENCE OF RADIATION,,,,,,,,,
FFD (cm),100,kV,80,mAs,10,,,,
Dimension,Observed Shift (cm),Edge Shift (cm),Tolerance (%),,,,,,
Length,0.2,0.1,2,,,,,,
Width,0.3,0.1,2,,,,,,
,,,,,,,,,
TEST: EFFECTIVE FOCAL SPOT,,,,,,,,,
FFD (cm),60,,,,,,,,
Focus Type,Stated Focal Spot of Tube (f),Measured Focal Spot (Nominal),,,,,,,
Small,0.6,0.65,,,,,,,
Large,1.2,1.3,,,,,,,
,,,,,,,,,
TEST: LINEARITY OF mAs LOADING STATIONS,,,,,,,,,
FDD (cm),100,kV,80,,,,,,
mAs Applied,Meas 1,Meas 2,Meas 3,,,,,,
5,0.43,0.42,0.43,,,,,,
10,0.86,0.85,0.87,,,,,,
20,1.72,1.71,1.73,,,,,,
Tolerance Operator,<=,,,,,,,,
Tolerance (CoL),0.1,,,,,,,,
,,,,,,,,,
TEST: RADIATION LEAKAGE LEVEL,,,,,,,,,
FDD (cm),100,kV,125,mA,20,Time (min),2,Workload,20
Tolerance Value (mGy/h),1,,,,,,,,
Tolerance Operator,<,,,,,,,,
Location,Left,Right,Front,Back,Top,,,,
Tube - Left,0.05,0.04,0.06,0.05,0.04,,,,
Collimator - Left,0.02,0.03,0.02,0.03,0.02,,,,
